6538086;Uwe Schöning;;;;;;;;;;;;;978-3-8274-1092-4;;books/daglib/0006048;2011-04-15;;;;1-384;Spektrum Akadem. Verl.;;;;;;;;Algorithmik.;;;2001
6538087;Jochen Hein;;;;;;;;;;;;;978-0-201-36044-8;;books/daglib/0000779;2011-04-12;;;;I-XVII, 1-501;Addison-Wesley-Longman;;;;;;;;Linux companion for systems administrators.;;;1999
6538088;Frank Beichelt|Peter Tittmann 0001;;;;;;;;;;https://www.crcpress.com/Reliability-and-Maintenance-Networks-and-Systems/Beichelt-Tittmann/9781439826355;;;978-1-439-82635-5;;books/daglib/0037862;2020-06-30;;;;I-X, 1-332;CRC Press;;;;;;;;Reliability and Maintenance - Networks and Systems.;;;2012
6538089;;;;;;;;;;;;;;978-3-86063-934-4;;books/daglib/0009220;2019-07-18;;;;I-XXXVI, 1-1743;Microsoft Press Deutschland;;;;;;;;Microsoft Windows XP Professional - die technische Referenz: technische Informationen zu Einführung, Konfiguration und Support von Windows XP Professional.;;;2002
6538090;Wolfram Kahl;;;;;;;;;;https://d-nb.info/946506078;;;978-3-931327-60-6;;books/daglib/0084405;2021-07-17;;;;I-VIII, 1-152;Utz;;;Bundeswehr University Munich, Neubiberg (Munich), Germany;Informatik;;;;Algebraische Termgraphersetzung mit gebundenen Variablen.;;;1996
6538091;Dimitra Anastasiou;;;;;;;;;;http://www.c-s-p.org/Flyers/Idiom-Treatment-Experiments-in-Machine-Translation1-4438-2515-8.htm;;;978-1-4438-2515-3;;books/daglib/0029210;2012-08-23;;;;I-XVIII, 1-242;Cambridge Scholars Publishing;;;;;;;;Idiom Treatment Experiments in Machine Translation.;;;2010
6538092;Matthias Holschneider;;;;;;;;;;;;;978-0-19-850521-1;;books/daglib/0001322;2019-07-22;;;;I-XIII, 1-423;Clarendon;;;;Oxford mathematical monographs;;;;Wavelets - an analysis tool.;;;1998
6538093;Robert Sedgewick;;;;;;;;;;;;;978-0-201-31663-6;;books/daglib/0001826;2011-02-03;;;;I-XIII, 1-482;Addison-Wesley-Longman;;;;;;;;Algorithms in C - part 5: graph algorithms (3 .ed.).;;;2002
6538094;Matthias Kalle Dalheimer;;;;;;;;;;;;;978-1-56592-588-5;;books/daglib/0096821;2011-04-20;;;;I-XIX, 1-361;O'Reilly;;;;;;;;Programming with Qt - writing portable GUI applications on UNIX and Win32: covers Qt1.4x and 2.0.;;;1999
6538095;Ben Henick;;;;;;;;;;http://www.oreilly.de/catalog/9780596157609/index.html;;;978-0-596-15760-9;;books/daglib/0024186;2011-02-04;;;;I-XXX, 1-318;O'Reilly;;;;;;;;HTML & CSS - The Good Parts: Better Ways to Build Websites That Work.;;;2010
6538096;Anthony Barrett|Deryn Graham;;;;;;;;;;;;;978-3-540-76027-6;;books/daglib/0087898;2011-02-03;;;;I-XIII, 1-178;Springer;;;;Applied computing;;;;Knowledge-based image processing systems.;;;1997
6538097;Markus Kowarschik;;;;;;;;;;;;;978-3-936150-39-1;;books/daglib/0011217;2019-06-19;;;;I-XIV, 1-221;Society for Modeling and Simulation International;;;;Advances in simulation;;;;Data locality optimizations for iterative numerical algorithms and cellular automata on hierarchical memory architectures.;;13;2004
6538098;Dietmar Tutsch;;;;;;;;;;https://doi.org/10.1007/3-540-34310-5;;;978-3-540-34308-0;;books/daglib/0016867;2017-05-16;;;;I-IX, 1-244;Springer;;;;;;;;Performance analysis of network architectures.;;;2006
6538099;Jose M. Framiñan|Rainer Leisten|Rubén Ruiz García;;0000-0003-0619-8508|0000-0003-3295-3888;;;;;;;;https://doi.org/10.1007/978-1-4471-6272-8;;;978-1-4471-6271-1;;books/daglib/0037379;2018-11-02;;;;I-XVIII, 1-400;Springer;;;;;;;;Manufacturing Scheduling Systems - An Integrated View on Models, Methods and Tools.;;;2014
6538100;Gianluigi Ferrari|Ozan K. Tonguz;;;;;;;;;;http://eu.wiley.com/WileyCDA/WileyTitle/productCd-047009110X.html;;;978-0-470-09110-4;;books/daglib/0024639;2011-09-19;;;;I-XVI, 1-330;Wiley;;;;;;;;Ad Hoc Wireless Networks - A Communication-Theoretic Perspective.;;;2006
6538101;Miles Murdocca;;;;;;;;;;;;;978-0-262-13251-0;;books/daglib/0066906;2011-05-05;;;;I-X, 1-161;MIT Press;;;;;;;;Digital design methodology for optical computing.;;;1990
6538103;Ethem Alpaydin;;;;;;;;;;;;;978-0-262-01211-9;;books/daglib/0020252;2019-07-15;;;;I-XXX, 1-415;MIT Press;;;;Adaptive computation and machine learning;;;;Introduction to machine learning.;;;2004
6538104;Wolfgang Schröder-Preikschat;;;;;;;;;;;;;978-0-13-125709-2;;books/daglib/0077379;2011-04-29;;;;I-XXVI, 1-370;Prentice Hall;;;;Prentice Hall series in innovative technology;;;;The logical design of parallel operating systems.;;;1994
6538105;Frank-O. Zimmermann;;;;;;;;;;https://d-nb.info/956598773;;;978-3-8244-2123-7;;books/daglib/0098686;2021-07-17;;;;I-XVII, 1-232;DUV;;;University of Bamberg, Germany;Forschungsbeiträge zur Wirtschaftsinformatik;;;;Betriebliche Informationssysteme in virtuellen Organisationen.;;;1999
6538107;Stefan E. Schmidt;;;;;;;;;;;;;978-3-7643-5171-7;;books/daglib/0079982;2011-04-27;;;;1-118;Birkhäuser;;;;;;;;Grundlegungen zu einer allgemeinen affinen Geometrie.;;;1995
6538108;Alan Schwartz;;;;;;;;;;;;;978-1-56592-259-4;;books/daglib/0092357;2011-04-21;;;;I-XIV, 1-282;O'Reilly;;;;;;;;Managing mailing lists - majordomo, listserv, listproc, and smartlist.;;;1998
6538109;Alan K. Mackworth|David Poole 0001|Randy Goebel;;;;;;;;;;;;;978-0-19-510270-3;;books/daglib/0091702;2017-11-06;;;;I-XVI, 1-558;Oxford University Press;;;;;;;;Computational intelligence - a logical approach.;;;1998
6538110;Evangelos Kranakis|Michel Barbeau;;;;;;;;;;;;;;;books/daglib/0017531;2011-03-21;;;;I-XX, 1-254;Wiley;;;;;;;;Principles of ad hoc networking.;;;2007
6538111;Chris Seibold;;;;;;;;;;http://www.oreilly.de/catalog/9780596802721/index.html;;;978-0-596-80272-1;;books/daglib/0023494;2011-02-09;;;;I-XII, 1-219;O'Reilly;;;;;;;;Mac OS X Snow Leopard - Pocket Guide: the Ultimate Quick Guide to Mac OS X.;;;2009
6538112;Michael J. Kearns|Umesh V. Vazirani;;;;;;;;;;https://mitpress.mit.edu/books/introduction-computational-learning-theory;;;978-0-262-11193-5;;books/daglib/0041035;2017-05-10;;;;I-XII, 1-207;MIT Press;;;;;;;;An Introduction to Computational Learning Theory.;;;1994
6538113;Gerhard Lienemann;;;;;;;;;;;;;978-3-936931-15-0;;books/daglib/0016148;2011-03-23;;;;I-XII, 1-160;Heise;;;;;;;;ITIL - Change Management: Hinweise und Vorgehensweisen aus der Praxis.;;;2006
6538114;Brad Woodberg|James Quinn|Patricio Giecco|Rob Cameron|Tim Eberhard;;;;;;;;;;http://www.oreilly.de/catalog/9781449381714/index.html;;;978-1-449-38171-4;;books/daglib/0025195;2011-07-01;;;;I-XXVIII, 1-816;O'Reilly;;;;;;;;Junos Security - a Guide to Junos for the SRX Services Gateways and Security Certification.;;;2010
6538115;Simon J. Thompson;;;;;;;;;;http://www.addison-wesley.de/main/main.asp?page=englisch/bookdetails&productid=88158;;;978-0-2018-8295-7;;books/daglib/0033100;2014-04-17;;;;I-XXII, 1-585;Addison-Wesley;;;;;;;;Haskell - The Craft of Functional Programming, 3rd Edition.;;;2011
6538116;Mark James Burge|Wilhelm Burger;;;;;;;;;;https://doi.org/10.1007/978-1-84882-919-0;;;978-1-84882-918-3|978-1-84882-919-0;;books/daglib/0031851;2020-07-10;;;;I-XIII, 1-368;Springer;;;;Undergraduate Topics in Computer Science;db/series/utcs/index.html;;;Principles of Digital Image Processing - Advanced Methods.;;;2013
6538117;Hans-Jörg Kreowski|Hartmut Ehrig|Klaus-Dieter Kiermeier|Wolfgang Kühnel;;;;;;;;;;;;;978-3-519-02054-7;;books/daglib/0067967;2011-08-26;;;;1-240;Teubner;;;;Teubner Studienbücher;;;;Universal theory of automata - a categorial approach.;;;1974
6538118;Hanspeter Mössenböck;;;;;;;;;;;;;978-3-89864-126-5;;books/daglib/0009027;2011-04-15;;;;I-XI, 1-244;dpunkt.verlag;;;;;;;;Software entwickeln mit C# - ein kompakter Lehrgang.;;;2002
6538120;Joachim Hasebrook;;;;;;;;;;;;;978-3-86025-287-1;;books/daglib/0082248;2011-04-28;;;;I-XII, 1-330;Spektrum Akademischer Verlag;;;;;;;;Multimedia-Psychologie - eine neue Perspektive menschlicher Kommunikation.;;;1995
6538121;Karin Schmidt|Martin Dugas;;;;;;;;;;;;;978-3-540-42568-7;;books/daglib/0006606;2011-04-12;;;;I-VIII, 1-229;Springer;;;;;;;;Medizinische Informatik und Bioinformatik - ein Kompendium für Studium und Praxis.;;;2002
6538122;Karl Anton Froeschl;;;;;;;;;;;;;978-3-211-82987-5;;books/daglib/0089735;2014-10-11;;;;I-XII, 1-537;Springer;;;;;;;;Metadata management in statistical information processing - a unified framework for metadata-based processing of statistical data aggregates.;;;1997
6538123;;;;;;;;;Albert Ali Salah|Theo Gevers;0000-0001-6342-428X;https://doi.org/10.1007/978-0-85729-994-9;;;978-0-85729-993-2;;books/daglib/0028271;2018-11-02;;;;;Springer;;;;;;;;Computer Analysis of Human Behavior.;db/books/daglib/0028271.html;;2011
6538124;Christopher Cunningham|Gabe Zichermann;;;;;;;;;;http://www.oreilly.de/catalog/9781449397678/index.html;;;978-1-449-39767-8;;books/daglib/0027608;2011-09-02;;;;I-XIX, 1-182;O'Reilly;;;;;;;;Gamification by Design - Implementing Game Mechanics in Web and Mobile Apps.;;;2011
6538125;Bernd Wingert|Ingrid Gabel-Becker|Knud Böhle|Ulrich Riehm;;;;;;;;;;;;;978-3-540-54159-2;;books/daglib/0081105;2011-08-29;;;;I-XXII, 1-440;Springer;;;;;;;;Elektronisches Publizieren - eine kritische Bestandsaufnahme.;;;1992
6538126;Jennifer Niederst;;;;;;;;;;;;;978-1-56592-515-1;;books/daglib/0096023;2011-04-20;;;;I-XVIII, 1-560;O'Reilly;;;;;;;;Web design in a nutshell - a desktop quick reference.;;;1999
6538127;Arno Rolf|Frieder Nake|Jörg-Martin Pflüger|Jürgen Seetzen|Wolfgang Coy;;;;;;;;;;;;;978-3-528-05263-8;;books/daglib/0067635;2011-08-29;;;;1-409;Vieweg;;;;Theorie der Informatik;;;;Sichtweisen der Informatik.;;;1992
6538128;Andreas Schwill|Volker Claus;;;;;;;;;;;;;978-0-13-275728-7;;books/daglib/0068846;2011-04-12;;;;I-VI, 1-382;Ellis Horwood;;;;Ellis Horwood books in information technology;;;;Encyclopaedia of information technology.;;;1992
6538129;Christian Stahl|Wil M. P. van der Aalst;;;;;;;;;;http://mitpress.mit.edu/books/modeling-business-processes;;;978-0-262-01538-7;;books/daglib/0032051;2013-11-08;;;;I-XII, 1-386;MIT Press;;;;Cooperative Information Systems series;;;;Modeling Business Processes - A Petri Net-Oriented Approach.;;;2011
6538130;Steve A. Schneider;;;;;;;;;;;;;978-0-333-79284-1;;books/daglib/0015710;2019-07-22;;;;I-XIII, 1-370;Macmillan Publ.;;;;The cornerstones of computing series;;;;The B-method - an introduction.;;;2001
6538132;Trevor A. Kletz;;;;;;;;;;;;;978-0-87201-919-5;;books/daglib/0066791;2011-05-02;;;;I-XVII, 1-238;Gulf Publishing Company;;;;;;;;What went wrong? - case histories of process plant disasters (2. ed.).;;;1988
6538133;Cordelia V. Hall|John T. O'Donnell|Rex L. Page;;;;;;;;;;https://doi.org/10.1007/1-84628-598-4;;;978-1-84628-241-6;;books/daglib/0016859;2017-05-16;;;;I-XIX, 1-441;Springer;;;;;;;;Discrete mathematics using a computer (2. ed.).;;;2006
6538135;Hans Jørgen Marker|Jenny Linnerud|Ken Miller|Mary Vardigan|Peter Granda|Stefan Kramer;;;;;;;;;;https://doi.org/10.3886/DDIBestPractices05;;;;;books/daglib/0023233;2019-07-11;;;;1-15;DDIAlliance.org;;;;Best Practices Across the Data Life Cycle;;;;Controlled Vocabularies.;;;2009
6538136;Melanie Mitchell;;;;;;;;;;http://ukcatalogue.oup.com/product/9780195124415.do;;;978-0-19-512441-5;;books/daglib/0023088;2017-05-07;;;;I-XVI, 1-349;Oxford University Press;;;;;;;;Complexity - A Guided Tour.;;;2009
6538137;Ben C. Moszkowski;;;;;;;;;;;;;978-0-521-31099-4;;books/daglib/0066727;2011-04-12;;;;1-125;Cambridge University Press;;;;;;;;Executing temporal logic programs.;;;1986
6538138;Ronald Mak;;;;;;;;;;;;;978-0-471-50968-4;;books/daglib/0067309;2011-04-07;;;;I-X, 1-516;Wiley;;;;Wiley professional computing;;;;Writing compilers and interpreters - an applied approach.;;;1991
6538139;Ding-Zhu Du;;;;;;;;;;;;;978-1-880132-00-5;;books/daglib/0069625;2011-04-19;;;;1-118;Science Press;;;;Discrete mathematics and theoretical computer science;;;;Convergence theory of feasible direction methods.;;;1991
6538140;Markus Wersch;;;;;;;;;;https://d-nb.info/944563538;;;978-3-8244-6200-1;;books/daglib/0082250;2021-07-17;;;;I-XII, 1-342;Deutscher Universitätsverlag;;;;Gabler Edition Wissenschaft;;;;Workflow management - systemgestützte Steuerung von Geschäftsprozessen.;;;1995
6538141;Peter Vollenweider;;;;;;;;;;;;;978-3-446-15347-9;;books/daglib/0067668;2011-05-05;;;;I-VIII, 1-177;Hanser;;;;;;;;PostScript - Konzeption, Anwendung, Mischen von Text und Grafik.;;;1988
6538142;Dirk Vermeir|Jeroen Janssen|Martine De Cock|Steven Schockaert;;;;;;;;;;https://doi.org/10.2991/978-94-91216-59-6;;;978-94-91216-58-9;;books/daglib/0035275;2017-05-16;;;;I-IX, 1-173;Atlantis Press;;;;Atlantis Computational Intelligence Systems;;;;Answer Set Programming for Continuous Domains - A Fuzzy Logic Approach.;;5;2012
6538143;Aaron Weber|Ellen Siever|Stephen Figgins;;;;;;;;;;http://www.oreilly.de/catalog/linuxwebcdbs2/index.html;;;978-0-596-00529-0;;books/daglib/0009518;2011-04-12;;;;1-944;O'Reilly;;;;;;;;The Linux web server CD bookshelf - version 2.0: 6 bestselling books on CD-ROM: includes a bonus book: Linux in a nutshell, 4th edition.;;;2003
6538144;Hendrik Pieter Barendregt|Richard Statman|Wil Dekkers;;;;;;;;;;http://www.cambridge.org/de/academic/subjects/mathematics/logic-categories-and-sets/lambda-calculus-types;;;978-0-521-76614-2;;books/daglib/0032840;2014-03-12;;;;I-XXII, 1-833;Cambridge University Press;;;;Perspectives in logic;;;;Lambda Calculus with Types.;;;2013
6538145;Eric T. Peterson;;;;;;;;;;http://www.oreilly.de/catalog/webmeasurehks/index.html;;;978-0-596-00988-5;;books/daglib/0013996;2011-04-01;;;;I-XXI, 1-405;O'Reilly;;;;;;;;Web site measurement hacks - tips and tools to help optimize your online business.;;;2005
6538147;Jan von Plato|Sara Negri;;;;;;;;;;http://www.cambridge.org/de/academic/subjects/philosophy/logic/proof-analysis-contribution-hilberts-last-problem?format=PB;;;978-1-10-741723-6;;books/daglib/0036978;2016-01-08;;;;I-XI, 1-265;Cambridge University Press;;;;;;;;Proof Analysis - A Contribution to Hilbert's Last Problem.;;;2014
6538148;Andrew Stellman|Jennifer Greene;;;;;;;;;;http://www.oreilly.de/catalog/9781449380342/index.html;;;978-1-449-38034-2;;books/daglib/0024501;2011-02-04;;;;I-XL, 1-797;O'Reilly;;;;;;;;Head First C# - A Brain-Friendly Guide: Covers C# and .Net 4.0, and Visual Studio 2010 (2. ed.).;;;2010
6538149;Heiko Lippold|Jörg Hilgenfeldt|Mechthild Scholl;;;;;;;;;;;;;978-3-528-05299-7;;books/daglib/0068474;2011-04-27;;;;I-XX, 1-247;Vieweg;;;;;;;;Vernetzung von IuK-Techniken - Chancen und Risiken der Informations- und Kommunikationstechniken für kleinere und mittlere Unternehmen.;;;1993
6538150;Manfred Knobloch|Matthias Kopp;;;;;;;;;;;;;978-3-932588-96-9;;books/daglib/0003344;2011-04-07;;;;I-XII, 1-268;dpunkt.verlag;;;;;;;;Web-Design mit XML - Webseiten erstellen mit XML, XSL und Cascading Style Sheets.;;;2001
6538151;Christian Müller-Schloer|Ernst Schmitter;;;;;;;;;;https://doi.org/10.1007/978-3-642-58238-7;;;978-3-540-54050-2;;books/daglib/0066748;2019-06-19;;;;I-XV, 1-556;Springer;;;;;;;;RISC-Workstation-Architekturen - Prozessoren, Systeme und Produkte.;;;1991
6538152;Alex Martelli|Anna Martelli Ravenscroft|David Ascher 0001;;;;;;;;;;http://www.oreilly.de/catalog/pythoncook2/index.html;;;978-0-596-00797-3;;books/daglib/0012784;2021-04-27;;;;I-XXXIII, 1-807;O'Reilly;;;;;;;;Python cookbook - recipes from the Python community: covers Python 2.3 and 2.4 (2 ed.).;;;2005
6538153;Anthony Y. Montgomery|Ian Joseph Lynch|Peter Juliff;;;;;;;;;;;;;978-0-13-474388-2;;books/daglib/0008448;2011-04-08;;;;I-XVI, 1-552;Prentice Hall;;;;;;;;Introduction to computer science (2. ed.).;;;1986
6538154;John C. Mitchell;;;;;;;;;;;;;978-0-521-78098-8;;books/daglib/0007317;2011-02-03;;;;I-X, 1-529;Cambridge University Press;;;;;;;;Concepts in programming languages.;;;2003
6538156;Pascal L'Hermite|Stephane Faroult;;;;;;;;;;http://www.oreilly.de/catalog/9780596514976/index.html;;;978-0-596-51497-6;;books/daglib/0021435;2011-02-16;;;;I-XV, 1-277;O'Reilly;;;;;;;;Refactoring SQL applications.;;;2008
6538157;David A. Karp|Tim O'Reilly;;;;;;;;;;;;;978-0-596-00249-7;;books/daglib/0006352;2011-04-07;;;;I-XVI, 1-616;O'Reilly;;;;;;;;Windows XP in a nutshell - a desktop quick reference: home and professional versions.;;;2002
6538158;Hans Hermes;;;;;;;;;;;;;978-0-387-05819-1;;books/daglib/0068046;2011-03-16;;;;I-XI, 1-242;Springer;;;;Universitext;;;;Introduction to mathematical logic.;;;1973
6538161;Gerhard Helming;;;;;;;;;;;;;978-3-446-15088-1;;books/daglib/0003578;2011-04-12;;;;I-XV, 1-282;Hanser;;;;PC professional;;;;Datenaustausch unter MS-DOS - Methoden und Techniken des Datentransfers zwischen Standardprogrammen, Individualprogrammen und integrierten Paketen.;;;1988
6538162;Grady Booch|Ivar Jacobson|James E. Rumbaugh;;;;;;;;;;;;;978-0-321-24562-5;;books/daglib/0019911;2015-03-25;;;;I-XX, 1-721;Addison-Wesley;;;;Addison Wesley object technology series;;;;The unified modeling language reference manuel - covers UML 2.0, Second Edition.;;;2005
6538164;Sabine Schöchle;;;;;;;;;;;;;978-3-89394-104-9;;books/daglib/0095569;2011-03-25;;;;I-XXII, 1-394;Hoppenstedt & Wolff;;;;;;;;Kartengebundene Zahlungssysteme in Deutschland (4. Aufl.).;;;1993
6538165;Neal Koblitz;;;;;;;;;;;;;978-3-540-94293-1;;books/daglib/0080660;2019-07-19;;;;I-X, 1-235;Springer;;;;Graduate texts in mathematics;;;;A course in number theory and cryptography, Second Edition.;;114;1994
6538166;Martin Ohsmann|Wolfram Luther;;;;;;;;;;;;;978-3-528-16302-0;;books/daglib/0069212;2019-07-19;;;;I-X, 1-290;Vieweg;;;;;;;;Mathematische Grundlagen der Computergraphik, 2. Auflage.;;;1989
6538167;Beng Chin Ooi|Mihai Lupu|Quang Hieu Vu;;;;;;;;;;https://doi.org/10.1007/978-3-642-03514-2;;;978-3-642-03513-5;;books/daglib/0024003;2017-05-16;;;;I-XVI, 1-317;Springer;;;;;;;;Peer-to-Peer Computing - Principles and Applications.;;;2010
6538168;Nikolai Borisovich Vasilyev|Victor Gutenmacher;;;;;;;;;;;;;978-0-8186-4161-9;;books/daglib/0011516;2011-04-12;;;;I-XV, 1-156;IEEE;;;;;;;;Lines and curves - a practical geometry handbook.;;;2004
6538169;Gottfried Vossen|Thomas Hoeren|Till Haselmann;;;;;;;;;;http://www.dpunkt.de/buecher/3736/Cloud-Computing%20f%C3%BCr%20Unternehmen.html;archive;;978-3-89864-808-0;;books/daglib/0029185;2020-11-27;;;;I-XI, 1-243;dpunkt.verlag;;;;;;;;Cloud-Computing für Unternehmen - technische, wirtschaftliche, rechtliche und organisatorische Aspekte.;;;2012
6538170;Anant Agarwal;;;;;;;;;;;;;978-0-7923-9005-3;;books/daglib/0068759;2019-07-12;;;;I-XVIII, 1-190;Kluwer;;;;The Kluwer international series in engineering and computer science;;;;Analysis of cache performance for operating systems and multiprogramming.;;69;1989
6538171;Jean-François Monin;;;;;;;;;;http://www.springer.com/computer/swe/book/978-1-85233-247-1;;;978-1-85233-247-1;;books/daglib/0007501;2011-03-25;;;;I-XV, 1-275;Springer;;;;;;;;Understanding formal methods.;;;2003
6538172;Franz Lehner 0001;;;;;;;;;;;;;978-3-89722-211-3;;books/daglib/0003163;2020-05-18;;;;I-IX, 1-209;Logos;;;;;;;;Software-Dokumentation.;;;1999
6538173;John R. Levine;;;;;;;;;;http://www.oreilly.de/catalog/qmail/index.html;;;978-1-56592-628-8;;books/daglib/0010681;2011-04-07;;;;I-XII, 1-234;O'Reilly;;;;;;;;qmail - managing unix-based mail systems.;;;2004
6538174;Hans J. M. Peters;;;;;;;;;;https://doi.org/10.1007/978-94-015-8022-9;;;978-0-7923-1873-6;;books/daglib/0018269;2019-07-18;;;;I-X, 1-240;Springer;;;;Theory and decision library C;;;;Axiomatic bargaining game theory.;;9;1992
6538175;;;;;;;;;;;;;;;;books/daglib/0085419;2019-07-19;;;;;SunService Schulungszentrum;;;;;;;;Java-Tutorial 1996 - introduction to Java Programming, Java application programming.;;;1996
6538176;Wolfgang P. Kowalk;;;;;;;;;;;;;978-3-411-16001-3;;books/daglib/0071880;2011-05-02;;;;1-310;BI-Wissenschaftsverlag;;;;;;;;Korrekte Software - Semantik, Spezifikation, Verifikation und Testen von Programmen.;;;1992
6538178;Jochen Ludewig;;;;;;;;;;;;;978-3-7281-1793-9;;books/daglib/0068159;2011-04-19;;;;1-317;VDF;;;;;;;;Einführung in die Informatik - Skriptum Informatik I,II (3. Aufl.).;;;1991
6538179;Robert K. Brayton|William K. C. Lam;;;;;;;;;;;;;978-0-7923-9454-9;;books/daglib/0076892;2019-07-19;;;;I-XX, 1-273;Kluwer;;;;The Kluwer international series in engineering and computer science;;;;Timed Boolean functions - a unified formalism for exact timing analysis.;;270;1994
6538180;Andrew Binstock|John Rex;;;;;;;;;;;;;978-0-201-63208-8;;books/daglib/0080736;2011-04-27;;;;I-XII, 1-577;Addison-Wesley;;;;;;;;Practical algorithms for programmers.;;;1995
6538181;John Lewis|William Loftus;;;;;;;;;;;;;978-0-201-72597-1;;books/daglib/0001480;2011-04-07;;;;I-XXVIII, 1-784;Addison-Wesley-Longman;;;;;;;;Java software solutions - foundations of program design (2. ed.).;;;2001
6538182;;;;;;;;;;;;;;;;books/daglib/0066787;2019-07-18;;;;I-XI, 1-189;ISO/AFNOR;;;;;;;;Dictionary of computer science - english-french.;;;1989
6538183;Sue A. Conger;;;;;;;;;;;;;978-0-534-17143-8;;books/daglib/0080502;2011-04-29;;;;I-XIII, 1-817;Wadsworth;;;;notThenot Wadsworth series in management information series;;;;The new software engineering.;;;1994
6538185;Robert M. Fuhrer|Steven M. Nowick;;;;;;;;;;;;;978-0-7923-7425-1;;books/daglib/0012814;2011-04-15;;;;I-XX, 1-258;Springer;;;;;;;;Sequential optimization of asynchronous and synchronous fintie-state machines.;;;2001
6538186;Ben Ezzell;;;;;;;;;;;;;978-0-201-60866-3;;books/daglib/0068923;2011-05-02;;;;I-XI, 1-591;Addison-Wesley;;;;;;;;Borland C++ 3.0 programming (2. ed.).;;;1992
6538187;Elliott Mendelson;;;;;;;;;;;;;978-0-412-06971-0;;books/daglib/0077286;2011-04-14;;;;I-IX, 1-341;Chapman and Hall;;;;;;;;Introduction to mathematical logic (3. ed.).;;;1987
6538188;Eörs Szathmáry|John Maynard Smith;;;;;;;;;;http://ukcatalogue.oup.com/product/9780198502944.do;;;978-0-19-850294-4;;books/daglib/0033878;2014-11-05;;;;;Oxford University Press;;;;;;;;The Major Transitions in Evolution.;;;1997
6538189;Nicole J. Saam;;;;;;;;;;;;;978-1-56555-087-2;;books/daglib/0087692;2019-07-19;;;;I-XVI, 1-304;SCS;;;;Advances in simulation;;;;Computergestützte Theoriekonstruktion in den Sozialwissenschaften - konzeptbasierte Simulation eines theoretischen Modells am Beispiel militärischer Staatssteiche in Thailand: unter Anwendung des Mehrebenen-Ansatzes der Synergetik.;;1;1995
6538190;Jürgen Jost;;;;;;;;;;;;;978-3-540-33065-3;;books/daglib/0025995;2019-07-12;;;;I-XVIII, 1-277;Springer;;;;Universitext;;;;Compact Riemann Surfaces - An Introduction to Contemporary Mathematics, Third Edition.;;;2006
6538191;Chris Sells|Ian Griffiths;;;;;;;;;;http://www.oreilly.de/catalog/9780596510374/;;;978-0-596-51037-4;;books/daglib/0018902;2011-03-21;;;;I-XXV, 1-835;O'Reilly;;;;;;;;Programming WPF - building Windows UI with Windows Presentation Foundation: includes 3D and silverlight tutorials (2. ed.).;;;2007
6538192;Graham Hamilton|Maydene Fisher|Roderic G. Cattell;;;;;;;;;;;;;978-0-201-30995-9;;books/daglib/0092231;2011-04-26;;;;I-XVI, 1-462;Addison-Wesley-Longman;;;;Java series;;;;JDBC datase access with Java - a tutorial and annotaded reference.;;;1997
6538193;Lawrence H. Putnam|Ware Myers;;;;;;;;;;;;;978-0-8186-7532-4;;books/daglib/0084247;2011-04-12;;;;I-XVI, 1-309;IEEE;;;;;;;;Industrial strength software - effective management using measurement.;;;1997
6538194;Martin Golubitsky|Michael Field;;;;;;;;;;https://doi.org/10.1137/1.9780898717709;;;978-0-898716-72-6;;books/daglib/0022845;2017-05-16;;;;I-XIV, 1-199;SIAM;;;;;;;;Symmetry in Chaos - A Search for Pattern in Mathematics, Art, and Nature (2. ed.).;;;2009
6538195;Seán Baker;;;;;;;;;;;;;978-0-201-92475-6;;books/daglib/0090370;2011-04-26;;;;I-XXIII, 1-511;Addison-Wesley;;;;;;;;CORBA distributed objects - using ORBIX.;;;1997
6538196;Norbert Hoffmann;;;;;;;;;;;;;978-3-528-05376-5;;books/daglib/0075138;2011-04-27;;;;I-XIII, 1-244;Vieweg;;;;;;;;Simulating neural networks.;;;1994
6538197;Stephen Wolfram;;;;;;;;;;;;;978-0-201-55479-3;;books/daglib/0081807;2011-05-03;;;;I-XIX, 1-501;Addison-Wesley;;;;;;;;Mathematica - the student book.;;;1990
6538198;Peter Clote|Rolf Backofen;;;;;;;;;;;;;978-0-471-87252-8;;books/daglib/0013938;2019-07-12;;;;I-IX, 1-286;Wiley-VCH;;;;Wiley series in mathematical and computational biology;;;;Computational molecular biology - an introduction.;;;2005
6538199;Heinrich Meyr|Marc Moeneclaey|Stefan A. Fechtel;;;;;;;;;;;;;978-0-471-50275-3;;books/daglib/0012542;2019-07-22;;;;I-XXV, 1-827;Wiley;;;;Wiley series in telecommunications and signal processing;;;;Digital communication receivers - synchronization, channel estimation, and signal processing.;;;1998
6538200;Rachelle Reese;;;;;;;;;;;;;;;books/daglib/0018663;2011-04-19;;;;I-VI, 1-306;Wiley;;;;;;;;Network security fundamentals - project manual.;;;2007
6538201;Marilyne Andersen|Siobhan Rockcastle;;;;;;;;;;https://doi.org/10.1007/978-1-4471-5233-0;;;978-1-4471-5232-3;;books/daglib/0032279;2017-05-16;;;;I-X, 1-83;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Annual Dynamics of Daylight Variability and Contrast - A Simulation-Based Approach to Quantifying Visual Effects in Architecture.;;;2013
